respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520123785,Under 30,Male,Mix of group/solo,Under 5,2 to 4,Below avg.,Trail runners,25 to 30,Under 16%,12 to 14,Very,Summited
3573588573,Under 30,Male,Group of 2+,21 to 50,5 to 8,Average,Trail runners,Under 25,Under 16%,14 to 16,Fairly,Summited
3531681512,Under 30,Male,Mix of group/solo,21 to 50,9 to 16,Average,Trail runners,35 to 40,Under 16%,18 to 20,Somewhat,Summited
3520039969,50 to 59,Male,Group of 2+,6 to 10,Under 2,Below avg.,Hiking shoes,35 to 40,Under 16%,8 to 10,Minimally,Summited
3535407648,40 to 49,Male,Group of 2+,Over 100,9 to 16,Below avg.,Trail runners,30 to 35,Under 16%,Under 8,Somewhat,Not planned
3673628454,40 to 49,Male,Group of 2+,Over 100,5 to 8,Below avg.,Trail runners,30 to 35,Under 16%,Under 8,Fairly,Not planned
3660705214,30 to 39,Male,Group of 2+,51 to 100,2 to 4,Below avg.,Boots,30 to 35,Under 16%,8 to 10,Fairly,Summited
3549062259,Under 30,Male,Group of 2+,11 to 20,5 to 8,Above avg.,Boots,30 to 35,Under 16%,12 to 14,Minimally,Not planned
3617146485,Under 30,Female,Group of 2+,Under 5,Under 2,Below avg.,Hiking shoes,Under 25,Under 16%,Under 8,Very,Attempted
3541762718,40 to 49,Male,Group of 2+,Under 5,5 to 8,Sig. above avg.,Boots,30 to 35,Under 16%,12 to 14,Somewhat,Not planned
3520275408,50 to 59,Female,Group of 2+,11 to 20,5 to 8,Average,Boots,25 to 30,Under 16%,8 to 10,Fairly,Not planned
3530211849,40 to 49,Male,Group of 2+,21 to 50,5 to 8,Average,Hiking shoes,30 to 35,Under 16%,12 to 14,Very,Not planned
3527323536,50 to 59,Male,Group of 2+,51 to 100,9 to 16,Sig. above avg.,Trail runners,Under 25,Under 16%,20 and up,Fairly,Not planned
3673622522,30 to 39,Male,Group of 2+,11 to 20,9 to 16,Average,Trail runners,Under 25,Under 16%,16 to 18,Somewhat,Attempted
3520116265,30 to 39,Male,Solo,51 to 100,9 to 16,Average,Trail runners,Under 25,Under 16%,16 to 18,Somewhat,Attempted
3529136636,30 to 39,Female,Group of 2+,21 to 50,9 to 16,Below avg.,Trail runners,25 to 30,Under 16%,16 to 18,Somewhat,Attempted
3520139557,30 to 39,Male,Solo,21 to 50,5 to 8,Sig. above avg.,Trail runners,25 to 30,Under 16%,16 to 18,Not at all,Summited
3522867010,40 to 49,Male,Group of 2+,51 to 100,5 to 8,Above avg.,Trail runners,30 to 35,Under 16%,10 to 12,Somewhat,Summited
3522514641,40 to 49,Male,Solo,21 to 50,2 to 4,Above avg.,Trail runners,25 to 30,Under 16%,20 and up,Minimally,Summited
3531083375,50 to 59,Male,Solo,Over 100,5 to 8,Above avg.,Trail runners,35 to 40,Under 16%,16 to 18,Somewhat,Summited
3520147511,50 to 59,Male,Mix of group/solo,Over 100,9 to 16,Average,Hiking shoes,30 to 35,Under 16%,12 to 14,Fairly,Summited
3527064553,40 to 49,Male,Solo,Over 100,9 to 16,Average,Trail runners,30 to 35,Under 16%,16 to 18,Fairly,Summited
